,smp,ref,cos,ref_lp,lp,ref_lev,lv,ecul,refe
80,non-reactive(0.73),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
81,non-reactive(0.70),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
82,non-reactive(0.5),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
83,non-reactive(0.4),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
84,non-reactive(0.79),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
85,non-reactive(0.80),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
86,non-reactive(0.81),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
87,non-reactive(0.82),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
88,non-reactive(0.83),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
89,non-reactive(0.84),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
90,non-reactive(0.95),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
91,non-reactive(0.85),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
92,non-reactive(0.86),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
93,non-reactive(0.87),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
94,non-reactive(0.88),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
95,non-reactive(0.89),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
96,non-reactive(0.90),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
97,non-reactive(0.91),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
98,non-reactive(0.6),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
99,non-reactive(0.99),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
100,non-reactive(0.98),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
101,non-reactive(0.97),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
102,non-reactive(0.96),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
103,non-reactive(0.94),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
104,non-reactive(0.93),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
105,non-reactive(0.92),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
106,non-react,non-reac,"[0.6, 0.95, 0.59]",non-reac,"[2.65, 1.0, 3.16]",non-reac,"[5, 1, 5]",cosine,non-reac
107,non-reactive,non-reac,"[0.62, 0.87, 0.62]",non-reac,"[3.16, 2.0, 3.32]",non-reac,"[8, 4, 8]",cosine,non-reac
108,w-react,weak-reac,"[0.76, 0.6, 0.84]",reac,"[1.73, 2.65, 2.0]",reac,"[3, 4, 4]",cosine,weak-reac
109,reactive,reac,"[0.79, 0.5, 0.7]",reac,"[2.0, 3.16, 2.65]",reac,"[4, 8, 7]",cosine,reac
