,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
83,neg(0.67),neg-,"[0.9391666634869382, 0.9577777756252494, 0.9844601759774568]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
84,neg(0.66),neg-,"[0.9515923881936506, 0.9658260848506777, 0.9873302607559262]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
85,neg(0.65),neg-,"[0.9391666634869382, 0.9577777756252494, 0.9844588680812515]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
86,neg(0.64),neg-,"[0.9391666634869382, 0.9577777756252494, 0.9844603161091933]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
87,neg(0.63),neg-,"[0.9391666634861835, 0.957777775591972, 0.9844603628197691]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
88,neg(0.62),neg-,"[0.9391666634869382, 0.9577777756252494, 0.9844596154505117]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
89,neg(0.70),neg-,"[0.9515922917899959, 0.9658260205977558, 0.9873300768560531]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
90,po 1.1,posi,"[0.9892057819885461, 0.9875216832624595, 0.9572427532665188]",posi,"[2.83, 3.46, 3.46]",posi,"[4, 6, 8]",jw,posi
91,po 1.2,posi,"[0.9786232635551649, 0.9752187496008, 0.9785791825882477]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
92,po 1.3,posi,"[0.9786232638862994, 0.9752187495804244, 0.978579860756648]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
93,po 1.4,posi,"[0.9786232635551649, 0.9752187496008, 0.9785798183711254]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
94,po 1.5,posi,"[0.9786232635551649, 0.9752187496008, 0.9785785044198451]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
95,po 1.6,posi,"[0.9786232638863006, 0.975218749580426, 0.9785798607566494]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
96,po 1.7,posi,"[0.9786232635551649, 0.9752187496008, 0.9785796912145499]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
97,po 1.8,posi,"[0.9786232638850084, 0.9752187495789721, 0.9785798607553571]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
98,po 1.9,posi,"[0.9786232635551649, 0.9752187496008, 0.9785798501602693]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
99,po 2.0,posi,"[0.9786232609086567, 0.9752187466234782, 0.9785791799417395]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
100,po 1.0,posi,"[0.9786232635551649, 0.9752187496008, 0.9785798581075553]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
101,po 2.1,posi,"[0.9786232635551649, 0.9752187496008, 0.9785791825882477]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
102,po 2.2,posi,"[0.9892057819885461, 0.9875216832852673, 0.9572427532719178]",posi,"[2.83, 3.46, 3.46]",posi,"[4, 6, 8]",jw,posi
103,po 2.3,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785791825908323]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
104,po 2.4,posi,"[0.9786232211722268, 0.9752187019199945, 0.9785791402053097]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
105,po 2.5,posi,"[0.9786225853893492, 0.9752179866642573, 0.9785778262540293]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
106,po 2.7,posi,"[0.9786230940156513, 0.9752185588688471, 0.9785790130487342]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
107,po 2.6,posi,"[0.9786232635577506, 0.975218749603709, 0.9785791825908337]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
108,po 2.9,posi,"[0.9786232529613706, 0.9752187376827814, 0.9785791719944534]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
109,po 2.8,posi,"[0.9786232635564585, 0.9752187496022553, 0.9785791825895414]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
110,po 3.0,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785798581101397]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
111,po 3.1,posi,"[0.9786232638862994, 0.9752187495804244, 0.978579860756648]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
