,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
78,non-reactive(0.75),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
79,non-reactive(0.74),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
80,non-reactive(0.73),non-reac,"[0.733161395069119, 0.879325374141554, 0.7988749127937455]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
81,non-reactive(0.70),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205896447754024]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
82,non-reactive(0.5),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8207103882366796]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
83,non-reactive(0.4),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8207103882366796]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
84,non-reactive(0.79),non-reac,"[0.7331612383455025, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
85,non-reactive(0.80),non-reac,"[0.7551054859115812, 0.8924262262243375, 0.820588981349791]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
86,non-reactive(0.81),non-reac,"[0.7331588625252756, 0.8793247413163311, 0.7988726154185071]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
87,non-reactive(0.82),non-reac,"[0.733161405656786, 0.8793253655395201, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
88,non-reactive(0.83),non-reac,"[0.7331588352064801, 0.8793247499183651, 0.7988725864063978]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
89,non-reactive(0.84),non-reac,"[0.733161405656786, 0.8793253655395201, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
90,non-reactive(0.95),non-reac,"[0.7331612383455025, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
91,non-reactive(0.85),non-reac,"[0.733161405656786, 0.8793253655395201, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
92,non-reactive(0.86),non-reac,"[0.7331588350757682, 0.8793247498506325, 0.7988725862935101]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
93,non-reactive(0.87),non-reac,"[0.733161405656786, 0.8793253655395201, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
94,non-reactive(0.88),non-reac,"[0.7551054859115812, 0.892426201345877, 0.8207097248110681]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
95,non-reactive(0.89),non-reac,"[0.7331592640723562, 0.8793253655395201, 0.7988740025811492]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
96,non-reactive(0.90),non-reac,"[0.7551053269658619, 0.89242636720228, 0.8205958367477756]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
97,non-reactive(0.91),non-reac,"[0.7331592640723562, 0.8793253568697535, 0.7988740025811492]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
98,non-reactive(0.6),non-reac,"[0.755105475729121, 0.8924262343875824, 0.8207097107737424]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
99,non-reactive(0.99),non-reac,"[0.7551053269658619, 0.89242636720228, 0.8205962790315166]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
100,non-reactive(0.98),non-reac,"[0.7331592640723562, 0.8793253655395201, 0.7988740025811492]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
101,non-reactive(0.97),non-reac,"[0.7331612383455025, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
102,non-reactive(0.96),non-reac,"[0.7331592533539771, 0.8793253740738215, 0.798873987905763]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
103,non-reactive(0.94),non-reac,"[0.7331612383455025, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
104,non-reactive(0.93),non-reac,"[0.7331592534846892, 0.879325374141554, 0.7988739880186507]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
105,non-reactive(0.92),non-reac,"[0.7331612383455025, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
106,non-react,non-reac,"[0.907805350465772, 0.9853259408602151, 0.9510623457034222]",non-reac,"[2.65, 1.0, 3.16]",non-reac,"[5, 1, 5]",jw,non-reac
107,non-reactive,non-reac,"[0.8643007462449691, 0.9576072868663594, 0.929345294301893]",non-reac,"[3.16, 2.0, 3.32]",non-reac,"[8, 4, 8]",jw,non-reac
108,w-react,weak-reac,"[0.9436251919945493, 0.977626452176568, 0.9706374949952784]",reac,"[1.73, 2.65, 2.0]",reac,"[3, 4, 4]",jw,non-reac
